icdo3_histology_code,icdo3_histology_code_name
8000/0,"Neoplasm, benign"
8000/1,"Neoplasm, uncertain whether benign or malignant"
8000/3,"Neoplasm, malignant"
8000/6,"Neoplasm, metastatic"
8000/9,"Neoplasm, malignant, uncertain whether primary or metastatic"
8001/0,"Tumor cells, benign"
8001/1,"Tumor cells, uncertain whether benign or malignant"
8001/3,"Tumor cells, malignant"
8002/3,"Malignant tumor, small cell type"
8003/3,"Malignant tumor, giant cell type"
8004/3,"Malignant tumor, spindle cell type"
8005/0,"Clear cell tumor, NOS"
8005/3,"Malignant tumor, clear cell type"
8010/0,"Epithelial tumor, benign"
8010/2,"Carcinoma in situ, NOS"
8010/3,"Carcinoma, NOS"
8010/6,"Carcinoma, metastatic, NOS"
8010/9,Carcinomatosis
8011/0,"Epithelioma, benign"
8011/3,"Epithelioma, malignant"
8012/3,"Large cell carcinoma, NOS"
8013/3,"Large cell neuroendocrine carcinoma"
8014/3,"Large cell carcinoma with rhabdoid phenotype"
8015/3,"Glassy cell carcinoma"
8020/3,"Carcinoma, undifferentiated, NOS"
8021/3,"Carcinoma, anaplastic, NOS"
8022/3,"Pleomorphic carcinoma"
8030/3,"Giant cell and spindle cell carcinoma"
8031/3,"Giant cell carcinoma"
8032/3,"Spindle cell carcinoma, NOS"
8033/3,"Pseudosarcomatous carcinoma"
8034/3,"Polygonal cell carcinoma"
8035/3,"Carcinoma with osteoclast-like giant cells"
8040/0,"Tumorlet, benign"
8040/1,"Tumorlet, NOS"
8041/3,"Small cell carcinoma, NOS"
8042/3,"Oat cell carcinoma"
8043/3,"Small cell carcinoma, fusiform cell"
8044/3,"Small cell carcinoma, intermediate cell"
8045/3,"Combined small cell carcinoma"
8046/3,"Non-small cell carcinoma"
8050/0,"Papilloma, NOS"
8050/2,"Papillary carcinoma in situ"
8050/3,"Papillary carcinoma, NOS"
8051/0,"Verrucous papilloma"
8051/3,"Verrucous carcinoma, NOS"
8052/0,"Squamous cell papilloma, NOS"
8052/2,"Papillary squamous cell carcinoma, non-invasive"
8052/3,"Papillary squamous cell carcinoma"
8053/0,"Squamous cell papilloma, inverted"
8060/0,"Squamous papillomatosis"
8070/2,"Squamous cell carcinoma in situ, NOS"
8070/3,"Squamous cell carcinoma, NOS"
8070/6,"Squamous cell carcinoma, metastatic, NOS"
8071/3,"Squamous cell carcinoma, keratinizing, NOS"
8072/3,"Squamous cell carcinoma, large cell, nonkeratinizing, NOS"
8073/3,"Squamous cell carcinoma, small cell, nonkeratinizing"
8074/3,"Squamous cell carcinoma, spindle cell"
8075/3,"Squamous cell carcinoma, adenoid"
8076/2,"Squamous cell carcinoma in situ with questionable stromal invasion"
8076/3,"Squamous cell carcinoma, microinvasive"
8077/0,"Squamous intraepithelial neoplasia, low grade"
8077/2,"Squamous intraepithelial neoplasia, high grade"
8078/3,"Squamous cell carcinoma with horn formation"
8080/2,"Queyrat erythroplasia"
8081/2,"Bowen disease"
8082/3,"Lymphoepithelial carcinoma"
8083/3,"Basaloid squamous cell carcinoma"
8084/3,"Squamous cell carcinoma, clear cell type"
8090/1,"Basal cell tumor"
8090/3,"Basal cell carcinoma, NOS"
8091/3,"Multifocal superficial basal cell carcinoma"
8092/3,"Infiltrating basal cell carcinoma, NOS"
8093/3,"Basal cell carcinoma, fibroepithelial"
8094/3,"Basosquamous carcinoma"
8095/3,"Metatypical carcinoma"
8096/0,"Intraepidermal epithelioma of Jadassohn"
8097/3,"Basal cell carcinoma, nodular"
8098/3,"Adenoid basal carcinoma"
8100/0,Trichoepithelioma
8101/0,Trichofolliculoma
8102/0,Trichilemmoma
8102/3,Trichilemmocarcinoma
8103/0,"Pilar tumor"
8110/0,"Pilomatrixoma, NOS"
8110/3,"Pilomatrix carcinoma"
8120/0,"Transitional cell papilloma, benign"
8120/1,"Urothelial papilloma, NOS"
8120/2,"Transitional cell carcinoma in situ"
8120/3,"Transitional cell carcinoma, NOS"
8121/0,"Schneiderian papilloma, NOS"
8121/1,"Transitional cell papilloma, inverted, NOS"
8121/3,"Schneiderian carcinoma"
8122/3,"Transitional cell carcinoma, spindle cell"
8123/3,"Basaloid carcinoma"
8124/3,"Cloacogenic carcinoma"
8130/1,"Papillary transitional cell neoplasm of low malignant potential"
8130/2,"Papillary transitional cell carcinoma, non-invasive"
8130/3,"Papillary transitional cell carcinoma"
8131/3,"Transitional cell carcinoma, micropapillary"
8140/0,"Adenoma, NOS"
8140/1,"Atypical adenoma"
8140/2,"Adenocarcinoma in situ, NOS"
8140/3,"Adenocarcinoma, NOS"
8140/6,"Adenocarcinoma, metastatic, NOS"
8141/3,"Scirrhous adenocarcinoma"
8142/3,"Linitis plastica"
8143/3,"Superficial spreading adenocarcinoma"
8144/3,"Adenocarcinoma, intestinal type"
8145/3,"Carcinoma, diffuse type"
8146/0,"Monomorphic adenoma"
8147/0,"Basal cell adenoma"
8147/3,"Basal cell adenocarcinoma"
8148/0,"Glandular intraepithelial neoplasia, low grade"
8148/2,"Glandular intraepithelial neoplasia, high grade"
8149/0,"Canalicular adenoma"
8150/0,"Pancreatic endocrine tumor, benign"
8150/1,"Pancreatic endocrine tumor, NOS"
8150/3,"Pancreatic endocrine tumor, malignant"
8151/0,"Insulinoma, NOS"
8151/3,"Insulinoma, malignant"
8152/1,"Glucagonoma, NOS"
8152/3,"Glucagonoma, malignant"
8153/1,"Gastrinoma, NOS"
8153/3,"Gastrinoma, malignant"
8154/3,"Mixed pancreatic endocrine and exocrine tumor, malignant"
8155/1,"Vipoma, NOS"
8155/3,"Vipoma, malignant"
8156/1,"Somatostatinoma, NOS"
8156/3,"Somatostatinoma, malignant"
8158/1,"Endocrine tumor, functioning, NOS"
8160/0,"Bile duct adenoma"
8160/3,Cholangiocarcinoma
8161/0,"Bile duct cystadenoma"
8161/3,"Bile duct cystadenocarcinoma"
8162/3,"Klatskin tumor"
8163/0,"Pancreatobiliary neoplasm, non-invasive"
8163/2,"Papillary neoplasm, pancreatobiliary-type, with high grade intraepithelial neoplasia"
8163/3,"Pancreatobiliary-type carcinoma"
8170/0,"Liver cell adenoma"
8170/3,"Hepatocellular carcinoma, NOS"
8171/3,"Hepatocellular carcinoma, fibrolamellar"
8172/3,"Hepatocellular carcinoma, scirrhous"
8173/3,"Hepatocellular carcinoma, spindle cell variant"
8174/3,"Hepatocellular carcinoma, clear cell type"
8175/3,"Hepatocellular carcinoma, pleomorphic type"
8180/3,"Combined hepatocellular carcinoma and cholangiocarcinoma"
8190/0,"Trabecular adenoma"
8190/3,"Trabecular adenocarcinoma"
8191/0,"Embryonal adenoma"
8200/0,"Eccrine dermal cylindroma"
8200/3,"Adenoid cystic carcinoma"
8201/2,"Cribriform carcinoma in situ"
8201/3,"Cribriform carcinoma, NOS"
8202/0,"Microcystic adenoma"
8204/0,"Lactating adenoma"
8210/0,"Adenomatous polyp, NOS"
8210/2,"Adenocarcinoma in situ in adenomatous polyp"
8210/3,"Adenocarcinoma in adenomatous polyp"
8211/0,"Tubular adenoma, NOS"
8211/3,"Tubular adenocarcinoma"
8212/0,"Flat adenoma"
8213/0,"Serrated adenoma"
8213/3,"Serrated adenocarcinoma"
8214/3,"Parietal cell carcinoma"
8215/3,"Adenocarcinoma of anal glands"
8220/0,"Adenomatous polyposis coli"
8220/3,"Adenocarcinoma in adenomatous polyposis coli"
8221/0,"Multiple adenomatous polyps"
8221/3,"Adenocarcinoma in multiple adenomatous polyps"
8230/2,"Ductal carcinoma in situ, solid type"
8230/3,"Solid carcinoma, NOS"
8231/3,"Carcinoma simplex"
8240/1,"Carcinoid tumor of uncertain malignant potential"
8240/3,"Carcinoid tumor, NOS"
8241/3,"Enterochromaffin cell carcinoid"
8242/1,"Enterochromaffin-like cell carcinoid, NOS"
8242/3,"Enterochromaffin-like cell tumor, malignant"
8243/3,"Goblet cell carcinoid"
8244/3,"Mixed adenoneuroendocrine carcinoma"
8245/1,"Tubular carcinoid"
8245/3,"Adenocarcinoid tumor"
8246/3,"Neuroendocrine carcinoma, NOS"
8247/3,"Merkel cell carcinoma"
8248/1,Apudoma
8249/3,"Atypical carcinoid tumor"
8250/1,"Pulmonary adenomatosis"
8250/3,"Bronchiolo-alveolar adenocarcinoma, NOS"
8251/0,"Alveolar adenoma"
8251/3,"Alveolar adenocarcinoma"
8252/3,"Bronchiolo-alveolar carcinoma, non- mucinous"
8253/3,"Bronchiolo-alveolar carcinoma, mucinous"
8254/3,"Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous"
8255/3,"Adenocarcinoma with mixed subtypes"
8260/0,"Papillary adenoma, NOS"
8260/3,"Papillary adenocarcinoma, NOS"
8261/0,"Villous adenoma, NOS"
8261/2,"Adenocarcinoma in situ in villous adenoma"
8261/3,"Adenocarcinoma in villous adenoma"
8262/3,"Villous adenocarcinoma"
8263/0,"Tubulovillous adenoma, NOS"
8263/2,"Adenocarcinoma in situ in tubulovillous adenoma"
8263/3,"Adenocarcinoma in tubulovillous adenoma"
8264/0,"Papillomatosis, glandular"
8265/3,"Micropapillary carcinoma, NOS"
8270/0,"Chromophobe adenoma"
8270/3,"Chromophobe carcinoma"
8271/0,Prolactinoma
8272/0,"Pituitary adenoma, NOS"
8272/3,"Pituitary carcinoma, NOS"
8280/0,"Acidophil adenoma"
8280/3,"Acidophil carcinoma"
8281/0,"Mixed acidophil-basophil adenoma"
8281/3,"Mixed acidophil-basophil carcinoma"
8290/0,"Oxyphilic adenoma"
8290/3,"Oxyphilic adenocarcinoma"
8300/0,"Basophil adenoma"
8300/3,"Basophil carcinoma"
8310/0,"Clear cell adenoma"
8310/3,"Clear cell adenocarcinoma, NOS"
8312/3,"Renal cell carcinoma, NOS"
8313/0,"Clear cell adenofibroma"
8313/1,"Clear cell adenofibroma of borderline malignancy"
8313/3,"Clear cell adenocarcinofibroma"
8314/3,"Lipid-rich carcinoma"
8315/3,"Glycogen-rich carcinoma"
8316/3,"Cyst-associated renal cell carcinoma"
8317/3,"Renal cell carcinoma, chromophobe type"
8318/3,"Renal cell carcinoma, sarcomatoid"
8319/3,"Collecting duct carcinoma"
8320/3,"Granular cell carcinoma"
8321/0,"Chief cell adenoma"
8322/0,"Water-clear cell adenoma"
8322/3,"Water-clear cell adenocarcinoma"
8323/0,"Mixed cell adenoma"
8323/3,"Mixed cell adenocarcinoma"
8324/0,Lipoadenoma
8325/0,"Metanephric adenoma"
8330/0,"Follicular adenoma"
8330/1,"Atypical follicular adenoma"
8330/3,"Follicular adenocarcinoma, NOS"
8331/3,"Follicular adenocarcinoma, well differentiated"
8332/3,"Follicular adenocarcinoma, trabecular"
8333/0,"Microfollicular adenoma, NOS"
8333/3,"Fetal adenocarcinoma"
8334/0,"Macrofollicular adenoma"
8335/3,"Follicular carcinoma, minimally invasive"
8336/0,"Hyalinizing trabecular adenoma"
8337/3,"Insular carcinoma"
8340/3,"Papillary carcinoma, follicular variant"
8341/3,"Papillary microcarcinoma"
8342/3,"Papillary carcinoma, oxyphilic cell"
8343/3,"Papillary carcinoma, encapsulated"
8344/3,"Papillary carcinoma, columnar cell"
8345/3,"Medullary carcinoma with amyloid stroma"
8346/3,"Mixed medullary-follicular carcinoma"
8347/3,"Mixed medullary-papillary carcinoma"
8350/3,"Nonencapsulated sclerosing carcinoma"
8360/1,"Multiple endocrine adenomas"
8361/0,"Juxtaglomerular tumor"
8370/0,"Adrenal cortical adenoma, NOS"
8370/3,"Adrenal cortical carcinoma"
8371/0,"Adrenal cortical adenoma, compact cell"
8372/0,"Adrenal cortical adenoma, pigmented"
8373/0,"Adrenal cortical adenoma, clear cell"
8374/0,"Adrenal cortical adenoma, glomerulosa cell"
8375/0,"Adrenal cortical adenoma, mixed cell"
8380/0,"Endometrioid adenoma, NOS"
8380/1,"Endometrioid adenoma, borderline malignancy"
8380/3,"Endometrioid adenocarcinoma, NOS"
8381/0,"Endometrioid adenofibroma, NOS"
8381/1,"Endometrioid adenofibroma, borderline malignancy"
8381/3,"Endometrioid adenofibroma, malignant"
8382/3,"Endometrioid adenocarcinoma, secretory variant"
8383/3,"Endometrioid adenocarcinoma, ciliated cell variant"
8384/3,"Adenocarcinoma, endocervical type"
8390/0,"Skin appendage adenoma"
8390/3,"Skin appendage carcinoma"
8391/0,"Follicular fibroma"
8392/0,Syringofibroadenoma
8400/0,"Sweat gland adenoma"
8400/1,"Sweat gland tumor, NOS"
8400/3,"Sweat gland adenocarcinoma"
8401/0,"Apocrine adenoma"
8401/3,"Apocrine adenocarcinoma"
8402/0,"Nodular hidradenoma"
8402/3,"Nodular hidradenoma, malignant"
8403/0,"Eccrine spiradenoma"
8403/3,"Malignant eccrine spiradenoma"
8404/0,Hidrocystoma
8405/0,"Papillary hidradenoma"
8406/0,"Papillary syringadenoma"
8407/0,"Syringoma, NOS"
8407/3,"Sclerosing sweat duct carcinoma"
8408/0,"Eccrine papillary adenoma"
8408/1,"Aggressive digital papillary adenoma"
8408/3,"Eccrine papillary adenocarcinoma"
8409/0,"Eccrine poroma"
8409/3,"Eccrine poroma, malignant"
8410/0,"Sebaceous adenoma"
8410/3,"Sebaceous adenocarcinoma"
8413/3,"Eccrine adenocarcinoma"
8420/0,"Ceruminous adenoma"
8420/3,"Ceruminous adenocarcinoma"
8430/3,"Mucoepidermoid carcinoma"
8440/0,"Cystadenoma, NOS"
8440/3,"Cystadenocarcinoma, NOS"
8441/0,"Serous cystadenoma, NOS"
8441/3,"Serous cystadenocarcinoma, NOS"
8442/1,"Serous cystadenoma, borderline malignancy"
8443/0,"Clear cell cystadenoma"
8444/1,"Clear cell cystic tumor of borderline malignancy"
8450/0,"Papillary cystadenoma, NOS"
8450/3,"Papillary cystadenocarcinoma, NOS"
8451/1,"Papillary cystadenoma, borderline malignancy"
8452/1,"Solid pseudopapillary tumor"
8452/3,"Solid pseudopapillary carcinoma"
8453/0,"Intraductal papillary-mucinous adenoma"
8453/2,"Intraductal papillary-mucinous carcinoma, non-invasive"
8453/3,"Intraductal papillary-mucinous carcinoma, invasive"
8454/0,"Cystic tumor of atrio-ventricular node"
8460/0,"Papillary serous cystadenoma, NOS"
8460/3,"Papillary serous cystadenocarcinoma"
8461/0,"Serous surface papilloma"
8461/3,"Serous surface papillary carcinoma"
8462/1,"Serous papillary cystic tumor of borderline malignancy"
8463/1,"Serous surface papillary tumor of borderline malignancy"
8470/0,"Mucinous cystadenoma, NOS"
8470/2,"Mucinous cystadenocarcinoma, non-invasive"
8470/3,"Mucinous cystadenocarcinoma, NOS"
8471/0,"Papillary mucinous cystadenoma, NOS"
8471/3,"Papillary mucinous cystadenocarcinoma"
8472/1,"Mucinous cystic tumor of borderline malignancy"
8473/1,"Papillary mucinous cystadenoma, borderline malignancy"
8480/0,"Mucinous adenoma"
8480/1,"Low grade appendiceal mucinous neoplasm"
8480/3,"Mucinous adenocarcinoma"
8480/6,"Pseudomyxoma peritonei"
8481/3,"Mucin-producing adenocarcinoma"
8482/3,"Mucinous adenocarcinoma, endocervical type"
8490/3,"Signet ring cell carcinoma"
8490/6,"Metastatic signet ring cell carcinoma"
8500/2,"Intraductal carcinoma, noninfiltrating, NOS"
8500/3,"Infiltrating duct carcinoma, NOS"
8501/2,"Comedocarcinoma, noninfiltrating"
8501/3,"Comedocarcinoma, NOS"
8502/3,"Secretory carcinoma of breast"
8503/0,"Intraductal papilloma"
8503/2,"Noninfiltrating intraductal papillary adenocarcinoma"
8503/3,"Intraductal papillary adenocarcinoma with invasion"
8504/0,"Intracystic papillary adenoma"
8504/2,"Noninfiltrating intracystic carcinoma"
8504/3,"Intracystic carcinoma, NOS"
8505/0,"Intraductal papillomatosis, NOS"
8506/0,"Adenoma of nipple"
8507/2,"Intraductal micropapillary carcinoma"
8508/3,"Cystic hypersecretory carcinoma"
8510/3,"Medullary carcinoma, NOS"
8512/3,"Medullary carcinoma with lymphoid stroma"
8513/3,"Atypical medullary carcinoma"
8514/3,"Duct carcinoma, desmoplastic type"
8520/2,"Lobular carcinoma in situ, NOS"
8520/3,"Lobular carcinoma, NOS"
8521/3,"Infiltrating ductular carcinoma"
8522/2,"Intraductal carcinoma and lobular carcinoma in situ"
8522/3,"Infiltrating duct and lobular carcinoma"
8523/3,"Infiltrating duct mixed with other types of carcinoma"
8524/3,"Infiltrating lobular mixed with other types of carcinoma"
8525/3,"Polymorphous low grade adenocarcinoma"
8530/3,"Inflammatory carcinoma"
8540/3,"Paget disease, mammary"
8541/3,"Paget disease and infiltrating duct carcinoma of breast"
8542/3,"Paget disease, extramammary"
8543/3,"Paget disease and intraductal carcinoma of breast"
8550/0,"Acinar cell adenoma"
8550/3,"Acinar cell carcinoma"
8551/3,"Acinar cell cystadenocarcinoma"
8552/3,"Mixed acinar-ductal carcinoma"
8560/0,"Mixed squamous cell and glandular papilloma"
8560/3,"Adenosquamous carcinoma"
8561/0,Adenolymphoma
8562/3,"Epithelial-myoepithelial carcinoma"
8570/3,"Adenocarcinoma with squamous metaplasia"
8571/3,"Adenocarcinoma with cartilaginous and osseous metaplasia"
8572/3,"Adenocarcinoma with spindle cell metaplasia"
8573/3,"Adenocarcinoma with apocrine metaplasia"
8574/3,"Adenocarcinoma with neuroendocrine differentiation"
8575/3,"Metaplastic carcinoma, NOS"
8576/3,"Hepatoid adenocarcinoma"
8580/0,"Thymoma, benign"
8580/1,"Thymoma, NOS"
8580/3,"Thymoma, malignant, NOS"
8581/1,"Thymoma, type A, NOS"
8581/3,"Thymoma, type A, malignant"
8582/1,"Thymoma, type AB, NOS"
8582/3,"Thymoma, type AB, malignant"
8583/1,"Thymoma, type B1, NOS"
8583/3,"Thymoma, type B1, malignant"
8584/1,"Thymoma, type B2, NOS"
8584/3,"Thymoma, type B2, malignant"
8585/1,"Thymoma, type B3, NOS"
8585/3,"Thymoma, type B3, malignant"
8586/3,"Thymic carcinoma, NOS"
8587/0,"Ectopic hamartomatous thymoma"
8588/3,"Spindle epithelial tumor with thymus-like element"
8589/3,"Carcinoma showing thymus-like element"
8590/1,"Sex cord-gonadal stromal tumor, NOS"
8591/1,"Sex cord-gonadal stromal tumor, incompletely differentiated"
8592/1,"Sex cord-gonadal stromal tumor, mixed forms"
8593/1,"Stromal tumor with minor sex cord elements"
8600/0,"Thecoma, NOS"
8600/3,"Thecoma, malignant"
8601/0,"Thecoma, luteinized"
8602/0,"Sclerosing stromal tumor"
8610/0,"Luteoma, NOS"
8620/1,"Granulosa cell tumor, adult type"
8620/3,"Granulosa cell tumor, malignant"
8621/1,"Granulosa cell-theca cell tumor"
8622/1,"Granulosa cell tumor, juvenile"
8623/1,"Sex cord tumor with annular tubules"
8630/0,"Androblastoma, benign"
8630/1,"Androblastoma, NOS"
8630/3,"Androblastoma, malignant"
8631/0,"Sertoli-Leydig cell tumor, well differentiated"
8631/1,"Sertoli-Leydig cell tumor of intermediate differentiation"
8631/3,"Sertoli-Leydig cell tumor, poorly differentiated"
8632/1,Gynandroblastoma
8633/1,"Sertoli-Leydig cell tumor, retiform"
8634/1,"Sertoli-Leydig cell tumor, intermediate differentiation, with heterologous elements"
8634/3,"Sertoli-Leydig cell tumor, poorly differentiated, with heterologous elements"
8640/1,"Sertoli cell tumor, NOS"
8640/3,"Sertoli cell carcinoma"
8641/0,"Sertoli cell tumor with lipid storage"
8642/1,"Large cell calcifying Sertoli cell tumor"
8650/0,"Leydig cell tumor, benign"
8650/1,"Leydig cell tumor, NOS"
8650/3,"Leydig cell tumor, malignant"
8660/0,"Hilus cell tumor"
8670/0,"Lipid cell tumor of ovary"
8670/3,"Steroid cell tumor, malignant"
8671/0,"Adrenal rest tumor"
8680/0,"Paraganglioma, benign"
8680/1,"Paraganglioma, NOS"
8680/3,"Paraganglioma, malignant"
8681/1,"Sympathetic paraganglioma"
8682/1,"Parasympathetic paraganglioma"
8683/0,"Gangliocytic paraganglioma"
8690/1,"Glomus jugulare tumor, NOS"
8691/1,"Aortic body tumor"
8692/1,"Carotid body tumor"
8693/1,"Extra-adrenal paraganglioma, NOS"
8693/3,"Extra-adrenal paraganglioma, malignant"
8700/0,"Pheochromocytoma, NOS"
8700/3,"Pheochromocytoma, malignant"
8710/3,Glomangiosarcoma
8711/0,"Glomus tumor, NOS"
8711/3,"Glomus tumor, malignant"
8712/0,Glomangioma
8713/0,Glomangiomyoma
8720/0,"Pigmented nevus, NOS"
8720/2,"Melanoma in situ"
8720/3,"Malignant melanoma, NOS"
8721/3,"Nodular melanoma"
8722/0,"Balloon cell nevus"
8722/3,"Balloon cell melanoma"
8723/0,"Halo nevus"
8723/3,"Malignant melanoma, regressing"
8725/0,Neuronevus
8726/0,"Magnocellular nevus"
8727/0,"Dysplastic nevus"
8728/0,"Diffuse melanocytosis"
8728/1,"Meningeal melanocytoma"
8728/3,"Meningeal melanomatosis"
8730/0,"Nonpigmented nevus"
8730/3,"Amelanotic melanoma"
8740/0,"Junctional nevus, NOS"
8740/3,"Malignant melanoma in junctional nevus"
8741/2,"Precancerous melanosis, NOS"
8741/3,"Malignant melanoma in precancerous melanosis"
8742/2,"Lentigo maligna"
8742/3,"Lentigo maligna melanoma"
8743/3,"Superficial spreading melanoma"
8744/3,"Acral lentiginous melanoma, malignant"
8745/3,"Desmoplastic melanoma, malignant"
8746/3,"Mucosal lentiginous melanoma"
8750/0,"Intradermal nevus"
8760/0,"Compound nevus"
8761/0,"Small congenital nevus"
8761/1,"Giant pigmented nevus, NOS"
8761/3,"Malignant melanoma in giant pigmented nevus"
8762/1,"Proliferative dermal lesion in congenital nevus"
8770/0,"Epithelioid and spindle cell nevus"
8770/3,"Mixed epithelioid and spindle cell melanoma"
8771/0,"Epithelioid cell nevus"
8771/3,"Epithelioid cell melanoma"
8772/0,"Spindle cell nevus, NOS"
8772/3,"Spindle cell melanoma, NOS"
8773/3,"Spindle cell melanoma, type A"
8774/3,"Spindle cell melanoma, type B"
8780/0,"Blue nevus, NOS"
8780/3,"Blue nevus, malignant"
8790/0,"Cellular blue nevus"
8800/0,"Soft tissue tumor, benign"
8800/3,"Sarcoma, NOS"
8800/9,"Sarcomatosis, NOS"
8801/3,"Spindle cell sarcoma"
8802/3,"Giant cell sarcoma"
8803/3,"Small cell sarcoma"
8804/3,"Epithelioid sarcoma"
8805/3,"Undifferentiated sarcoma"
8806/3,"Desmoplastic small round cell tumor"
8810/0,"Fibroma, NOS"
8810/1,"Cellular fibroma"
8810/3,"Fibrosarcoma, NOS"
8811/0,Fibromyxoma
8811/3,Fibromyxosarcoma
8812/0,"Periosteal fibroma"
8812/3,"Periosteal fibrosarcoma"
8813/0,"Fascial fibroma"
8813/3,"Fascial fibrosarcoma"
8814/3,"Infantile fibrosarcoma"
8815/0,"Solitary fibrous tumor"
