icdo3_histology_code,icdo3_histology_code_name
8815/3,"Solitary fibrous tumor, malignant"
8820/0,Elastofibroma
8821/1,"Aggressive fibromatosis"
8822/1,"Abdominal fibromatosis"
8823/0,"Desmoplastic fibroma"
8824/0,Myofibroma
8824/1,Myofibromatosis
8825/0,Myofibroblastoma
8825/1,"Myofibroblastic tumor, NOS"
8826/0,Angiomyofibroblastoma
8827/1,"Myofibroblastic tumor, peribronchial"
8830/0,"Benign fibrous histiocytoma"
8830/1,"Atypical fibrous histiocytoma"
8830/3,"Malignant fibrous histiocytoma"
8831/0,"Histiocytoma, NOS"
8832/0,"Dermatofibroma, NOS"
8832/3,"Dermatofibrosarcoma, NOS"
8833/3,"Pigmented dermatofibrosarcoma protuberans"
8834/1,"Giant cell fibroblastoma"
8835/1,"Plexiform fibrohistiocytic tumor"
8836/1,"Angiomatoid fibrous histiocytoma"
8840/0,"Myxoma, NOS"
8840/3,Myxosarcoma
8841/1,Angiomyxoma
8842/0,"Ossifying fibromyxoid tumor"
8850/0,"Lipoma, NOS"
8850/1,"Atypical lipoma"
8850/3,"Liposarcoma, NOS"
8851/0,Fibrolipoma
8851/3,"Liposarcoma, well differentiated"
8852/0,Fibromyxolipoma
8852/3,"Myxoid liposarcoma"
8853/3,"Round cell liposarcoma"
8854/0,"Pleomorphic lipoma"
8854/3,"Pleomorphic liposarcoma"
8855/3,"Mixed liposarcoma"
8856/0,"Intramuscular lipoma"
8857/0,"Spindle cell lipoma"
8857/3,"Fibroblastic liposarcoma"
8858/3,"Dedifferentiated liposarcoma"
8860/0,Angiomyolipoma
8861/0,"Angiolipoma, NOS"
8862/0,"Chondroid lipoma"
8870/0,Myelolipoma
8880/0,Hibernoma
8881/0,Lipoblastomatosis
8890/0,"Leiomyoma, NOS"
8890/1,"Leiomyomatosis, NOS"
8890/3,"Leiomyosarcoma, NOS"
8891/0,"Epithelioid leiomyoma"
8891/3,"Epithelioid leiomyosarcoma"
8892/0,"Cellular leiomyoma"
8893/0,"Bizarre leiomyoma"
8894/0,Angiomyoma
8894/3,Angiomyosarcoma
8895/0,Myoma
8895/3,Myosarcoma
8896/3,"Myxoid leiomyosarcoma"
8897/1,"Smooth muscle tumor of uncertain malignant potential"
8898/1,"Metastasizing leiomyoma"
8900/0,"Rhabdomyoma, NOS"
8900/3,"Rhabdomyosarcoma, NOS"
8901/3,"Pleomorphic rhabdomyosarcoma, adult type"
8902/3,"Mixed type rhabdomyosarcoma"
8903/0,"Fetal rhabdomyoma"
8904/0,"Adult rhabdomyoma"
8905/0,"Genital rhabdomyoma"
8910/3,"Embryonal rhabdomyosarcoma, NOS"
8912/3,"Spindle cell rhabdomyosarcoma"
8920/3,"Alveolar rhabdomyosarcoma"
8921/3,"Rhabdomyosarcoma with ganglionic differentiation"
8930/0,"Endometrial stromal nodule"
8930/3,"Endometrial stromal sarcoma, NOS"
8931/3,"Endometrial stromal sarcoma, low grade"
8932/0,Adenomyoma
8933/3,Adenosarcoma
8934/3,Carcinofibroma
8935/0,"Stromal tumor, benign"
8935/1,"Stromal tumor, NOS"
8935/3,"Stromal sarcoma, NOS"
8936/0,"Gastrointestinal stromal tumor, benign"
8936/1,"Gastrointestinal stromal tumor, NOS"
8936/3,"Gastrointestinal stromal sarcoma"
8940/0,"Pleomorphic adenoma"
8940/3,"Mixed tumor, malignant, NOS"
8941/3,"Carcinoma in pleomorphic adenoma"
8950/3,"Mullerian mixed tumor"
8951/3,"Mesodermal mixed tumor"
8959/0,"Benign cystic nephroma"
8959/1,"Cystic partially differentiated nephroblastoma"
8959/3,"Malignant cystic nephroma"
8960/1,"Mesoblastic nephroma"
8960/3,"Nephroblastoma, NOS"
8963/3,"Malignant rhabdoid tumor"
8964/3,"Clear cell sarcoma of kidney"
8965/0,"Nephrogenic adenofibroma"
8966/0,"Renomedullary interstitial cell tumor"
8967/0,"Ossifying renal tumor"
8970/3,Hepatoblastoma
8971/3,Pancreatoblastoma
8972/3,"Pulmonary blastoma"
8973/3,"Pleuropulmonary blastoma"
8974/1,Sialoblastoma
8975/1,"Calcifying nested epithelial stromal tumor"
8980/3,"Carcinosarcoma, NOS"
8981/3,"Carcinosarcoma, embryonal"
8982/0,Myoepithelioma
8982/3,"Malignant myoepithelioma"
8983/0,Adenomyoepithelioma
8990/0,"Mesenchymoma, benign"
8990/1,"Mesenchymoma, NOS"
8990/3,"Mesenchymoma, malignant"
8991/3,"Embryonal sarcoma"
9000/0,"Brenner tumor, NOS"
9000/1,"Brenner tumor, borderline malignancy"
9000/3,"Brenner tumor, malignant"
9010/0,"Fibroadenoma, NOS"
9011/0,"Intracanalicular fibroadenoma"
9012/0,"Pericanalicular fibroadenoma"
9013/0,"Adenofibroma, NOS"
9014/0,"Serous adenofibroma, NOS"
9014/1,"Serous adenofibroma of borderline malignancy"
9014/3,"Serous adenocarcinofibroma"
9015/0,"Mucinous adenofibroma, NOS"
9015/1,"Mucinous adenofibroma of borderline malignancy"
9015/3,"Mucinous adenocarcinofibroma"
9016/0,"Giant fibroadenoma"
9020/0,"Phyllodes tumor, benign"
9020/1,"Phyllodes tumor, borderline"
9020/3,"Phyllodes tumor, malignant"
9030/0,"Juvenile fibroadenoma"
9040/0,"Synovioma, benign"
9040/3,"Synovial sarcoma, NOS"
9041/3,"Synovial sarcoma, spindle cell"
9042/3,"Synovial sarcoma, epithelioid cell"
9043/3,"Synovial sarcoma, biphasic"
9044/3,"Clear cell sarcoma, NOS"
9050/0,"Mesothelioma, benign"
9050/3,"Mesothelioma, malignant"
9051/0,"Fibrous mesothelioma, benign"
9051/3,"Fibrous mesothelioma, malignant"
9052/0,"Epithelioid mesothelioma, benign"
9052/3,"Epithelioid mesothelioma, malignant"
9053/3,"Mesothelioma, biphasic, malignant"
9054/0,"Adenomatoid tumor, NOS"
9055/0,"Multicystic mesothelioma, benign"
9055/1,"Cystic mesothelioma, NOS"
9060/3,Dysgerminoma
9061/3,"Seminoma, NOS"
9062/3,"Seminoma, anaplastic"
9063/3,"Spermatocytic seminoma"
9064/2,"Intratubular malignant germ cells"
9064/3,Germinoma
9065/3,"Germ cell tumor, nonseminomatous"
9070/3,"Embryonal carcinoma, NOS"
9071/3,"Yolk sac tumor"
9072/3,Polyembryoma
9073/1,Gonadoblastoma
9080/0,"Teratoma, benign"
9080/1,"Teratoma, NOS"
9080/3,"Teratoma, malignant, NOS"
9081/3,Teratocarcinoma
9082/3,"Malignant teratoma, undifferentiated"
9083/3,"Malignant teratoma, intermediate"
9084/0,"Dermoid cyst, NOS"
9084/3,"Teratoma with malignant transformation"
9085/3,"Mixed germ cell tumor"
9090/0,"Struma ovarii, NOS"
9090/3,"Struma ovarii, malignant"
9091/1,"Strumal carcinoid"
9100/0,"Hydatidiform mole, NOS"
9100/1,"Invasive hydatidiform mole"
9100/3,"Choriocarcinoma, NOS"
9101/3,"Choriocarcinoma combined with other germ cell elements"
9102/3,"Malignant teratoma, trophoblastic"
9103/0,"Partial hydatidiform mole"
9104/1,"Placental site trophoblastic tumor"
9105/3,"Trophoblastic tumor, epithelioid"
9110/0,"Mesonephroma, benign"
9110/1,"Mesonephric tumor, NOS"
9110/3,"Mesonephroma, malignant"
9120/0,"Hemangioma, NOS"
9120/3,Hemangiosarcoma
9121/0,"Cavernous hemangioma"
9122/0,"Venous hemangioma"
9123/0,"Racemose hemangioma"
9124/3,"Kupffer cell sarcoma"
9125/0,"Epithelioid hemangioma"
9130/0,"Hemangioendothelioma, benign"
9130/1,"Hemangioendothelioma, NOS"
9130/3,"Hemangioendothelioma, malignant"
9131/0,"Capillary hemangioma"
9132/0,"Intramuscular hemangioma"
9133/1,"Epithelioid hemangioendothelioma, NOS"
9133/3,"Epithelioid hemangioendothelioma, malignant"
9135/1,"Endovascular papillary angioendothelioma"
9136/1,"Spindle cell hemangioendothelioma"
9140/3,"Kaposi sarcoma"
9141/0,Angiokeratoma
9142/0,"Verrucous keratotic hemangioma"
9150/0,"Hemangiopericytoma, benign"
9150/1,"Hemangiopericytoma, NOS"
9150/3,"Hemangiopericytoma, malignant"
9160/0,"Angiofibroma, NOS"
9161/0,"Acquired tufted hemangioma"
9161/1,Hemangioblastoma
9170/0,"Lymphangioma, NOS"
9170/3,Lymphangiosarcoma
9171/0,"Capillary lymphangioma"
9172/0,"Cavernous lymphangioma"
9173/0,"Cystic lymphangioma"
9174/0,Lymphangiomyoma
9174/1,Lymphangiomyomatosis
9175/0,Hemolymphangioma
9180/0,"Osteoma, NOS"
9180/3,"Osteosarcoma, NOS"
9181/3,"Chondroblastic osteosarcoma"
9182/3,"Fibroblastic osteosarcoma"
9183/3,"Telangiectatic osteosarcoma"
9184/3,"Osteosarcoma in Paget disease of bone"
9185/3,"Small cell osteosarcoma"
9186/3,"Central osteosarcoma"
9187/3,"Intraosseous well differentiated osteosarcoma"
9191/0,"Osteoid osteoma, NOS"
9192/3,"Parosteal osteosarcoma"
9193/3,"Periosteal osteosarcoma"
9194/3,"High grade surface osteosarcoma"
9195/3,"Intracortical osteosarcoma"
9200/0,"Osteoblastoma, NOS"
9200/1,"Aggressive osteoblastoma"
9210/0,Osteochondroma
9210/1,"Osteochondromatosis, NOS"
9220/0,"Chondroma, NOS"
9220/1,"Chondromatosis, NOS"
9220/3,"Chondrosarcoma, NOS"
9221/0,"Juxtacortical chondroma"
9221/3,"Juxtacortical chondrosarcoma"
9230/0,"Chondroblastoma, NOS"
9230/3,"Chondroblastoma, malignant"
9231/3,"Myxoid chondrosarcoma"
9240/3,"Mesenchymal chondrosarcoma"
9241/0,"Chondromyxoid fibroma"
9242/3,"Clear cell chondrosarcoma"
9243/3,"Dedifferentiated chondrosarcoma"
9250/1,"Giant cell tumor of bone, NOS"
9250/3,"Giant cell tumor of bone, malignant"
9251/1,"Giant cell tumor of soft parts, NOS"
9251/3,"Malignant giant cell tumor of soft parts"
9252/0,"Tenosynovial giant cell tumor"
9252/3,"Malignant tenosynovial giant cell tumor"
9260/3,"Ewing sarcoma"
9261/3,"Adamantinoma of long bones"
9262/0,"Ossifying fibroma"
9270/0,"Odontogenic tumor, benign"
9270/1,"Odontogenic tumor, NOS"
9270/3,"Odontogenic tumor, malignant"
9271/0,"Ameloblastic fibrodentinoma"
9272/0,"Cementoma, NOS"
9273/0,"Cementoblastoma, benign"
9274/0,"Cementifying fibroma"
9275/0,"Gigantiform cementoma"
9280/0,"Odontoma, NOS"
9281/0,"Compound odontoma"
9282/0,"Complex odontoma"
9290/0,"Ameloblastic fibro-odontoma"
9290/3,"Ameloblastic odontosarcoma"
9300/0,"Adenomatoid odontogenic tumor"
9301/0,"Calcifying odontogenic cyst"
9302/0,"Odontogenic ghost cell tumor"
9310/0,"Ameloblastoma, NOS"
9310/3,"Ameloblastoma, malignant"
9311/0,Odontoameloblastoma
9312/0,"Squamous odontogenic tumor"
9320/0,"Odontogenic myxoma"
9321/0,"Central odontogenic fibroma"
9322/0,"Peripheral odontogenic fibroma"
9330/0,"Ameloblastic fibroma"
9330/3,"Ameloblastic fibrosarcoma"
9340/0,"Calcifying epithelial odontogenic tumor"
9341/1,"Clear cell odontogenic tumor"
9342/3,"Odontogenic carcinosarcoma"
9350/1,Craniopharyngioma
9351/1,"Craniopharyngioma, adamantinomatous"
9352/1,"Craniopharyngioma, papillary"
9360/1,Pinealoma
9361/1,Pineocytoma
9362/3,Pineoblastoma
9363/0,"Melanotic neuroectodermal tumor"
9364/3,"Peripheral neuroectodermal tumor"
9365/3,"Askin tumor"
9370/3,"Chordoma, NOS"
9371/3,"Chondroid chordoma"
9372/3,"Dedifferentiated chordoma"
9373/0,Parachordoma
9380/3,"Glioma, malignant"
9381/3,"Gliomatosis cerebri"
9382/3,"Mixed glioma"
9383/1,Subependymoma
9384/1,"Subependymal giant cell astrocytoma"
9390/0,"Choroid plexus papilloma, NOS"
9390/1,"Atypical choroid plexus papilloma"
9390/3,"Choroid plexus carcinoma"
9391/3,"Ependymoma, NOS"
9392/3,"Ependymoma, anaplastic"
9393/3,"Papillary ependymoma"
9394/1,"Myxopapillary ependymoma"
9395/3,"Papillary tumor of the pineal region"
9400/3,"Astrocytoma, NOS"
9401/3,"Astrocytoma, anaplastic"
9410/3,"Protoplasmic astrocytoma"
9411/3,"Gemistocytic astrocytoma"
9412/1,"Desmoplastic infantile astrocytoma"
9413/0,"Dysembryoplastic neuroepithelial tumor"
9420/3,"Fibrillary astrocytoma"
9421/1,"Pilocytic astrocytoma"
9423/3,"Polar spongioblastoma"
9424/3,"Pleomorphic xanthoastrocytoma"
9425/3,"Pilomyxoid astrocytoma"
9430/3,Astroblastoma
9431/1,"Angiocentric glioma"
9432/1,Pituicytoma
9440/3,"Glioblastoma, NOS"
9441/3,"Giant cell glioblastoma"
9442/1,Gliofibroma
9442/3,Gliosarcoma
9444/1,"Chordoid glioma"
9450/3,"Oligodendroglioma, NOS"
9451/3,"Oligodendroglioma, anaplastic"
9470/3,"Medulloblastoma, NOS"
9471/3,"Desmoplastic nodular medulloblastoma"
9472/3,Medullomyoblastoma
9473/3,"Primitive neuroectodermal tumor, NOS"
9474/3,"Large cell medulloblastoma"
9490/0,Ganglioneuroma
9490/3,Ganglioneuroblastoma
9491/0,Ganglioneuromatosis
9492/0,Gangliocytoma
9493/0,"Dysplastic gangliocytoma of cerebellum (Lhermitte-Duclos)"
9500/3,"Neuroblastoma, NOS"
9501/0,"Medulloepithelioma, benign"
9501/3,"Medulloepithelioma, NOS"
9502/0,"Teratoid medulloepithelioma, benign"
9502/3,"Teratoid medulloepithelioma"
9503/3,"Neuroepithelioma, NOS"
9504/3,Spongioneuroblastoma
9505/1,"Ganglioglioma, NOS"
9505/3,"Ganglioglioma, anaplastic"
9506/1,"Central neurocytoma"
9507/0,"Pacinian tumor"
9508/3,"Atypical teratoid/rhabdoid tumor"
9509/1,"Papillary glioneuronal tumor"
9510/0,Retinocytoma
9510/3,"Retinoblastoma, NOS"
9511/3,"Retinoblastoma, differentiated"
9512/3,"Retinoblastoma, undifferentiated"
9513/3,"Retinoblastoma, diffuse"
9514/1,"Retinoblastoma, spontaneously regressed"
9520/3,"Olfactory neurogenic tumor"
9521/3,"Olfactory neurocytoma"
9522/3,"Olfactory neuroblastoma"
9523/3,"Olfactory neuroepithelioma"
9530/0,"Meningioma, NOS"
9530/1,"Meningiomatosis, NOS"
9530/3,"Meningioma, malignant"
9531/0,"Meningothelial meningioma"
9532/0,"Fibrous meningioma"
9533/0,"Psammomatous meningioma"
9534/0,"Angiomatous meningioma"
9537/0,"Transitional meningioma"
9538/1,"Clear cell meningioma"
9538/3,"Papillary meningioma"
9539/1,"Atypical meningioma"
9539/3,"Meningeal sarcomatosis"
9540/0,"Neurofibroma, NOS"
9540/1,"Neurofibromatosis, NOS"
9540/3,"Malignant peripheral nerve sheath tumor"
9541/0,"Melanotic neurofibroma"
9550/0,"Plexiform neurofibroma"
9560/0,"Neurilemoma, NOS"
9560/1,Neurinomatosis
9561/3,"Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation"
9562/0,Neurothekeoma
9570/0,"Neuroma, NOS"
9571/0,"Perineurioma, NOS"
9571/3,"Perineurioma, malignant"
9580/0,"Granular cell tumor, NOS"
9580/3,"Granular cell tumor, malignant"
9581/3,"Alveolar soft part sarcoma"
9582/0,"Granular cell tumor of the sellar region"
9590/3,"Malignant lymphoma, NOS"
9591/3,"Malignant lymphoma, non-Hodgkin, NOS"
9596/3,"Composite Hodgkin and non-Hodgkin lymphoma"
9597/3,"Primary cutaneous follicle centre lymphoma"
9650/3,"Hodgkin lymphoma, NOS"
9651/3,"Hodgkin lymphoma, lymphocyte-rich"
9652/3,"Hodgkin lymphoma, mixed cellularity, NOS"
9653/3,"Hodgkin lymphoma, lymphocyte depletion, NOS"
9654/3,"Hodgkin lymphoma, lymphocyte depletion, diffuse fibrosis"
9655/3,"Hodgkin lymphoma, lymphocyte depletion, reticular"
9659/3,"Hodgkin lymphoma, nodular lymphocyte predominance"
9663/3,"Hodgkin lymphoma, nodular sclerosis, NOS"
9664/3,"Hodgkin lymphoma, nodular sclerosis, cellular phase"
9665/3,"Hodgkin lymphoma, nodular sclerosis, grade 1"
9667/3,"Hodgkin lymphoma, nodular sclerosis, grade 2"
9670/3,"Malignant lymphoma, small B lymphocytic, NOS"
9671/3,"Malignant lymphoma, lymphoplasmacytic"
9673/3,"Mantle cell lymphoma"
9678/3,"Primary effusion lymphoma"
9679/3,"Mediastinal large B-cell lymphoma"
9680/3,"Malignant lymphoma, large B-cell, diffuse, NOS"
9684/3,"Malignant lymphoma, large B-cell, diffuse, immunoblastic, NOS"
9687/3,"Burkitt lymphoma, NOS"
9688/3,"T-cell/histiocyte rich large B-cell lymphoma"
9689/3,"Splenic marginal zone B-cell lymphoma"
9690/3,"Follicular lymphoma, NOS"
9691/3,"Follicular lymphoma, grade 2"
9695/3,"Follicular lymphoma, grade 1"
9698/3,"Follicular lymphoma, grade 3"
9699/3,"Marginal zone B-cell lymphoma, NOS"
9700/3,"Mycosis fungoides"
9701/3,"Sezary syndrome"
9702/3,"Mature T-cell lymphoma, NOS"
9705/3,"Angioimmunoblastic T-cell lymphoma"
9708/3,"Subcutaneous panniculitis-like T-cell lymphoma"
9709/3,"Cutaneous T-cell lymphoma, NOS"
9712/3,"Intravascular large B-cell lymphoma"
9714/3,"Anaplastic large cell lymphoma, T cell and Null cell type"
9716/3,"Hepatosplenic T-cell lymphoma"
9717/3,"Intestinal T-cell lymphoma"
9718/3,"Primary cutaneous CD30+ T-cell lymphoproliferative disorder"
9719/3,"NK/T-cell lymphoma, nasal and nasal-type"
9724/3,"Systemic EBV positive T-cell lymphoproliferative disease of childhood"
9725/3,"Hydroa vacciniforme-like lymphoma"
9726/3,"Primary cutaneous gamma-delta T-cell lymphoma"
9727/3,"Precursor cell lymphoblastic lymphoma, NOS"
9728/3,"Precursor B-cell lymphoblastic lymphoma"
9729/3,"Precursor T-cell lymphoblastic lymphoma"
9731/3,"Plasmacytoma, NOS"
9732/3,"Multiple myeloma"
9733/3,"Plasma cell leukemia"
9734/3,"Plasmacytoma, extramedullary"
9735/3,"Plasmablastic lymphoma"
9737/3,"ALK positive large B-cell lymphoma"
9738/3,"Large B-cell lymphoma arising in HHV8-associated multicentric Castleman disease"
9740/1,"Mastocytoma, NOS"
9740/3,"Mast cell sarcoma"
9741/1,"Indolent systemic mastocytosis"
9741/3,"Malignant mastocytosis"
9742/3,"Mast cell leukemia"
9750/3,"Malignant histiocytosis"
9751/3,"Langerhans cell histiocytosis, NOS"
9755/3,"Histiocytic sarcoma"
9756/3,"Langerhans cell sarcoma"
9757/3,"Interdigitating dendritic cell sarcoma"
9758/3,"Follicular dendritic cell sarcoma"
9759/3,"Fibroblastic reticular cell tumor"
9760/3,"Immunoproliferative disease, NOS"
9761/3,"Waldenstrom macroglobulinemia"
9762/3,"Heavy chain disease, NOS"
9764/3,"Immunoproliferative small intestinal disease"
9765/1,"Monoclonal gammopathy of undetermined significance"
9766/1,"Angiocentric immunoproliferative lesion"
9767/1,"Angioimmunoblastic lymphadenopathy (AIC)"
9768/1,"T-gamma lymphoproliferative disease"
9769/1,"Immunoglobulin deposition disease"
9800/3,"Leukemia, NOS"
9801/3,"Acute leukemia, NOS"
9805/3,"Acute biphenotypic leukemia"
9806/3,"Mixed phenotype acute leukemia with t(9;22)(q34;q11.2); BCR-ABL1"
9807/3,"Mixed phenotype acute leukemia with t(v;11q23); MLL rearranged"
9808/3,"Mixed phenotype acute leukemia, B/myeloid, NOS"
9809/3,"Mixed phenotype acute leukemia, T/myeloid, NOS"
9811/3,"B lymphoblastic leukemia/lymphoma, NOS"
9812/3,"B lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1"
9813/3,"B lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged"
9814/3,"B lymphoblastic leukemia/lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)"
9815/3,"B lymphoblastic leukemia/lymphoma with hyperdiploidy"
9816/3,"B lymphoblastic leukemia/lymphoma with hypodiploidy (Hypodiploid ALL)"
9817/3,"B lymphoblastic leukemia/lymphoma with t(5;14)(q31;q32); IL3-IGH"
9818/3,"B lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)"
9820/3,"Lymphoid leukemia, NOS"
9823/3,"B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma"
9826/3,"Burkitt cell leukemia"
9827/3,"Adult T-cell leukemia/lymphoma (HTLV-1 positive)"
9831/3,"T-cell large granular lymphocytic leukemia"
9832/3,"Prolymphocytic leukemia, NOS"
9833/3,"Prolymphocytic leukemia, B-cell type"
9834/3,"Prolymphocytic leukemia, T-cell type"
9835/3,"Precursor cell lymphoblastic leukemia, NOS"
9836/3,"Precursor B-cell lymphoblastic leukemia"
9837/3,"Precursor T-cell lymphoblastic leukemia"
9840/3,"Acute myeloid leukemia, M6 type"
9860/3,"Myeloid leukemia, NOS"
9861/3,"Acute myeloid leukemia, NOS"
9863/3,"Chronic myeloid leukemia, NOS"
9865/3,"Acute myeloid leukemia with t(6;9)(p23;q34); DEK-NUP214"
9866/3,"Acute promyelocytic leukemia, t(15;17)(q22;q11-12)"
9867/3,"Acute myelomonocytic leukemia"
9869/3,"Acute myeloid leukemia with inv(3)(q21;q26.2) or t(13.3)(q21;q26.2); RPN1-EVI1"
9870/3,"Acute basophilic leukemia"
9871/3,"Acute myeloid leukemia with abnormal marrow eosinophils"
9872/3,"Acute myeloid leukemia, minimal differentiation"
9873/3,"Acute myeloid leukemia without maturation"
9874/3,"Acute myeloid leukemia with maturation"
9875/3,"Chronic myelogenous leukemia, BCR/ABL positive"
9876/3,"Atypical chronic myeloid leukemia, BCR/ABL negative"
9891/3,"Acute monocytic leukemia"
9895/3,"Acute myeloid leukemia with myelodysplasia-related changes"
9896/3,"Acute myeloid leukemia, t(8;21)(q22;q22)"
9897/3,"Acute myeloid leukemia, 11q23 abnormalities"
9898/1,"Transient abnormal myelopoiesis"
9898/3,"Myeloid leukemia associated with Down Syndrome"
9910/3,"Acute megakaryoblastic leukemia"
9911/3,"Acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1"
9920/3,"Therapy related myeloid neoplasm"
9930/3,"Myeloid sarcoma"
9931/3,"Acute panmyelosis with myelofibrosis"
9940/3,"Hairy cell leukemia"
9945/3,"Chronic myelomonocytic leukemia, NOS"
9946/3,"Juvenile myelomonocytic leukemia"
9948/3,"Aggressive NK-cell leukemia"
9950/3,"Polycythemia vera"
9960/3,"Myeloproliferative neoplasm, NOS"
9961/3,"Primary myelofibrosis"
9962/3,"Essential thrombocythemia"
9963/3,"Chronic neutrophilic leukemia"
9964/3,"Chronic eosinophilic leukemia, NOS"
9965/3,"Myeloid and lymphoid neoplasms with PDGFRA rearrangement"
9966/3,"Myeloid neoplasms with PDGFRB rearrangement"
9967/3,"Myeloid and lymphoid neoplasms with FGFR1 abnormalities"
9970/1,"Lymphoproliferative disorder, NOS"
9971/1,"Post transplant lymphoproliferative disorder, NOS"
9971/3,"Polymorphic post transplant lymphoproliferative disorder"
9975/3,"Myloproliferative neoplasm, unclassifiable"
9980/3,"Refractory anemia"
9982/3,"Refractory anemia with sideroblasts"
9983/3,"Refractory anemia with excess blasts"
9985/3,"Refractory cytopenia with multilineage dysplasia"
9986/3,"Myelodysplastic syndrome with 5q deletion (5q-) syndrome"
9987/3,"Therapy-related myelodysplastic syndrome, NOS"
9989/3,"Myelodysplastic syndrome, NOS"
9991/3,"Refractory neutropenia"
9992/3,"Refractory thrombocytopenia"
